[21478, 5106]
[64214, 23404]
[64281, 22928]
[64149, 23385]
[64142, 23096]
[64144, 23044]
[64164, 23144]
[64286, 23047]
[61539, 22588]
[64148, 23384]
[60609, 20613]
[61668, 22651]
[64291, 23388]
[64160, 23083]
[62215, 22838]
[64140, 23125]
[64156, 22657]
[63950, 23277]
[64138, 23074]
[62120, 22748]
[63956, 23278]
[64289, 23018]
[63994, 23288]
[64146, 23383]
[64166, 23020]
[63984, 19679]
[63981, 23160]
[64282, 22993]
[61519, 23058]
[63967, 23282]
[64128, 23381]
[62122, 22750]
[63990, 23287]
[64287, 23082]
[63997, 23289]
[61762, 22658]
[63963, 23281]
[63973, 23283]
[64276, 23095]
[60451, 22332]
[60729, 22439]
[57216, 20881]
[58972, 21484]
[63860, 23103]
[63853, 23160]
[61028, 20615]
[60588, 20780]
[60973, 20457]
[63851, 23045]
[62132, 22759]
[60174, 22123]
[61358, 22545]
[63855, 23101]
[63849, 22928]
[62235, 22858]
[56391, 20678]
[63833, 23262]
[61730, 22656]
[63861, 21131]
[61016, 20527]
[63863, 22929]
[63831, 22997]
[62119, 22747]
[62243, 22866]
[60171, 22120]
[60851, 20614]
[63844, 23264]
[63845, 23144]
[63858, 23026]
[62204, 22827]
[63864, 23016]
[60783, 20511]
[63753, 23020]
[63763, 23250]
[59952, 21931]
[61283, 22533]
[63702, 23040]
[60570, 22388]
[59377, 21616]
[63817, 23016]
[51842, 19428]
[60047, 22010]
[60728, 22439]
[63350, 23143]
[63385, 23103]
[61075, 20508]
[61451, 22552]
[63378, 23160]
[61608, 22645]
[61761, 22658]
[60587, 20780]
[61381, 22547]
[64666, 23555]
[60816, 19242]
[63719, 22993]
[61517, 23058]
[62176, 22800]
[63825, 23256]
[59653, 21699]
[63387, 19679]
[63379, 23161]
[63780, 23082]
[63829, 23260]
[63210, 23098]
[63141, 23113]
[63228, 23072]
[62231, 22854]
[63259, 21131]
[63230, 23074]
[63267, 23018]
[57237, 20886]
[63223, 23116]
[61125, 22483]
[60718, 20839]
[57158, 20867]
[63225, 23021]
[60537, 20432]
[60652, 22412]
[63121, 23044]
[61473, 22560]
[62080, 22719]
[63125, 23020]
[61067, 20505]
[61555, 22596]
[62146, 22773]
[60558, 22386]
[61431, 22551]
[61303, 22536]
[60850, 20614]
[61485, 22561]
[63209, 23098]
[62227, 22850]
[56390, 20678]
[63069, 23097]
[60972, 20457]
[63109, 23107]
[63183, 23096]
[63096, 23102]
[63176, 23095]
[63127, 23104]
[63102, 23105]
[55669, 20502]
[63085, 23101]
[59349, 21608]
[63184, 22928]
[60727, 22439]
[63268, 23016]
[57987, 21133]
[60955, 21098]
[62152, 22779]
[63099, 23103]
[61729, 22656]
[61015, 20527]
[63111, 23108]
[63048, 22997]
[60586, 20780]
[62201, 22824]
[63188, 23045]
[63204, 22929]
[58971, 21484]
[62793, 23029]
[60175, 22124]
[63097, 23026]
[60782, 20511]
[63108, 23106]
[61516, 23058]
[62105, 22737]
[63071, 23098]
[62959, 23079]
[61027, 20615]
[62963, 23081]
[63205, 23012]
[62998, 23083]
[63269, 23085]
[61087, 20620]
[62996, 22657]
[61704, 22653]
[62101, 22733]
[60944, 20711]
[62923, 23074]
[61357, 22545]
[58659, 21411]
[63206, 23018]
[60511, 20682]
[60684, 21490]
[60457, 22338]
[60745, 20617]
[60815, 19242]
[63191, 23020]
[62255, 22878]
[60606, 20613]
[61101, 20621]
[61537, 22580]
[63114, 23017]
[63055, 23021]
[62116, 22744]
[63200, 23047]
[60440, 22321]
[62932, 23040]
[61620, 22647]
[59641, 21698]
[63070, 23098]
[63196, 23103]
[63309, 23139]
[61264, 22530]
[64364, 23445]
[60585, 20780]
[61666, 22651]
[63169, 23095]
[58442, 21335]
[59652, 21699]
[55730, 20514]
[60536, 20432]
[63166, 23121]
[61515, 23058]
[60050, 22013]
[63422, 23168]
[61638, 22648]
[61450, 22552]
[61607, 22645]
[60475, 22353]
[61380, 22547]
[60428, 22312]
[63033, 23085]
[63129, 19679]
[63082, 23099]
[62163, 22787]
[61066, 20505]
[60369, 22289]
[61654, 22649]
[60971, 20457]
[62246, 22869]
[61703, 22653]
[62817, 23072]
[59348, 21608]
[62854, 23052]
[60464, 22345]
[60943, 20711]
[62214, 22837]
[62826, 23041]
[61529, 22578]
[62264, 22887]
[60605, 20613]
[60683, 21490]
[62079, 22719]
[62836, 23020]
[60744, 20617]
[63081, 23099]
[61554, 22596]
[62848, 23018]
[60180, 22129]
[62828, 23043]
[63617, 22657]
[62843, 23048]
[60849, 20614]
[61484, 22561]
[56945, 20818]
[62140, 22767]
[62825, 23041]
[62855, 23053]
[61472, 22560]
[62242, 22865]
[60717, 20839]
[61430, 22551]
[64238, 23412]
[62134, 22761]
[63080, 23099]
[63876, 23266]
[62857, 23055]
[62835, 23020]
[64227, 23408]
[62832, 23045]
[60584, 20780]
[61086, 20620]
[62833, 23026]
[57226, 20879]
[62824, 23041]
[62820, 23040]
[62829, 22928]
[62862, 23019]
[62842, 21131]
[61579, 22628]
[60835, 22457]
[63079, 23099]
[55668, 20502]
[62813, 22997]
[61665, 22651]
[61379, 22547]
[62853, 23051]
[63031, 23085]
[61356, 22545]
[62823, 23041]
[62859, 23057]
[61100, 20621]
[62838, 23047]
[62815, 23017]
[62179, 22803]
[60510, 20682]
[60604, 20613]
[60682, 21490]
[60743, 20617]
[61619, 22647]
[62844, 23049]
[62847, 23018]
[61026, 20615]
[60552, 22381]
[60535, 20432]
[63078, 23099]
[61449, 22552]
[61606, 22645]
[61759, 22658]
[62194, 22817]
[60045, 22008]
[62841, 21131]
[60154, 22105]
[61513, 23058]
[60781, 20511]
[63296, 23020]
[63605, 23082]
[62127, 22755]
[61065, 20505]
[61281, 22533]
[59640, 21698]
[61565, 22993]
[62177, 22801]
[61263, 22530]
[62849, 23016]
[62822, 23041]
[60484, 22359]
[63431, 23121]
[60547, 22376]
[62131, 22758]
[60313, 22202]
[61637, 22648]
[63077, 23099]
[63066, 23042]
[62727, 23022]
[61702, 22653]
[60572, 22390]
[61535, 22580]
[61483, 22561]
[61429, 22551]
[62726, 23021]
[62065, 22718]
[60742, 20617]
[58970, 21484]
[60161, 22112]
[59347, 21608]
[62728, 23023]
[61553, 22596]
[56937, 20819]
[61653, 22649]
[55376, 20450]
[60496, 22371]
[60929, 20912]
[62708, 23072]
[60550, 22379]
[51648, 19378]
[61013, 20527]
[60716, 20839]
[61503, 22562]
[62718, 22929]
[59538, 21685]
[62723, 23018]
[61041, 20845]
[62720, 23016]
[62711, 23012]
[63911, 23271]
[63076, 23099]
[60901, 22470]
[62990, 22657]
[60953, 21098]
[63553, 22439]
[60848, 20614]
[62955, 23020]
[60363, 22284]
[57363, 20908]
[63750, 23026]
[59528, 21682]
[63736, 22439]
[63734, 20615]
[63751, 23020]
[63695, 20457]
[61727, 22656]
[62716, 21131]
[56765, 20678]
[55267, 20423]
[60603, 20613]
[61744, 22657]
[63727, 23019]
[63449, 21098]
[58292, 21255]
[61686, 22652]
[61025, 20615]
[62715, 23026]
[60027, 22000]
[60725, 22439]
[60801, 22442]
[63789, 22657]
[61146, 22493]
[60151, 22102]
[62714, 22928]
[57247, 20884]
[63738, 22439]
[63752, 23020]
[62724, 23019]
[60583, 20780]
[62717, 23015]
[63713, 22928]
[63737, 22439]
[61411, 22549]
[63040, 23019]
[63064, 20613]
[63037, 20780]
[59196, 20678]
[63075, 23099]
[63276, 23132]
[63146, 23117]
[61293, 20365]
[62706, 21942]
[60755, 21122]
[60981, 20465]
[59189, 21538]
[61618, 22647]
[61085, 20620]
[61355, 22545]
[60408, 22304]
[62707, 23072]
[62934, 20465]
[61172, 22510]
[60434, 22315]
[55667, 20502]
[61758, 22658]
[60897, 22468]
[62920, 23072]
[62903, 23017]
[62722, 23018]
[57867, 21100]
[62710, 23012]
[60669, 22417]
[63013, 23018]
[56944, 20818]
[60942, 20711]
[60741, 20617]
[60780, 20511]
[62721, 23017]
[63000, 23012]
[63015, 23018]
[60681, 21490]
[61471, 22560]
[55734, 19679]
[60578, 22394]
[59651, 21699]
[60478, 22356]
[62971, 23082]
[61262, 22530]
[59511, 21675]
[61448, 22552]
[60509, 20682]
[61099, 20621]
[61378, 22547]
[55709, 20508]
[60952, 21098]
[61280, 22533]
[60456, 22337]
[61564, 22993]
[60813, 19242]
[60495, 22370]
[58327, 23063]
[60695, 22427]
[62653, 22927]
[61652, 22649]
[55386, 20448]
[62652, 22994]
[62636, 21942]
[60463, 22344]
[61701, 22653]
[60494, 22369]
[60802, 20618]
[55334, 20440]
[61428, 22551]
[60670, 22418]
[61552, 22596]
[61685, 22652]
[55696, 20510]
[59600, 22547]
[62647, 22992]
[57164, 20866]
[60740, 20617]
[57246, 20884]
[60520, 20622]
[60372, 22291]
[60951, 21098]
[63035, 21424]
[60489, 22364]
[60657, 22413]
[55452, 20460]
[60715, 20839]
[61482, 22561]
[61064, 20505]
[62651, 22928]
[60165, 22114]
[57393, 20912]
[61309, 22535]
[51846, 19427]
[61722, 22655]
[62646, 22929]
[62650, 22993]
[61169, 22507]
[58969, 21484]
[61684, 22652]
[57224, 20879]
[60941, 20711]
[60553, 22382]
[60582, 20780]
[60634, 22411]
[61726, 22656]
[61410, 22549]
[60980, 20465]
[61040, 20845]
[61771, 22659]
[61743, 22657]
[59990, 21131]
[55708, 20508]
[60629, 22407]
[56131, 20615]
[59886, 21846]
[60864, 20612]
[57997, 21131]
[59526, 20432]
[60616, 22402]
[61012, 20527]
[58935, 21474]
[61349, 20682]
[57951, 21124]
[59345, 21608]
[61604, 22645]
[60549, 22378]
[62637, 20465]
[60950, 21098]
[60435, 22316]
[61617, 22647]
[60754, 21122]
[62077, 22719]
[60461, 22342]
[55733, 19679]
[60477, 22355]
[56943, 20818]
[55666, 20502]
[60576, 22392]
[61635, 22648]
[60508, 20682]
[60680, 21490]
[61470, 22560]
[60739, 20617]
[60422, 22307]
[61982, 22644]
[59639, 21698]
[62656, 22997]
[61447, 22552]
[61377, 22547]
[61051, 20499]
[61300, 22534]
[61261, 22530]
[60628, 22407]
[60411, 22306]
[59650, 21699]
[58501, 21360]
[61757, 22658]
[60779, 20511]
[61167, 22505]
[61279, 22533]
[55778, 19242]
[60968, 20457]
[62648, 20614]
[60487, 22362]
[60602, 20613]
[61427, 22551]
[62604, 22552]
[57392, 20912]
[60632, 22410]
[57163, 20866]
[57877, 21098]
[60769, 22441]
[56942, 20818]
[60903, 22472]
[57245, 20884]
[60138, 20854]
[60293, 22192]
[62766, 22547]
[60155, 22106]
[60420, 22192]
[55451, 20460]
[60714, 20839]
[61501, 22562]
[55732, 19679]
[60164, 22113]
[61598, 22644]
[62605, 22580]
[61481, 22561]
[62063, 22718]
[61700, 22653]
[61308, 22535]
[55322, 20432]
[61784, 22665]
[61097, 20621]
[61833, 22561]
[56179, 20618]
[60421, 22192]
[60620, 22403]
[60166, 22115]
[61063, 20505]
[61651, 22649]
[61551, 22596]
[59100, 21510]
[60940, 20711]
[55262, 20418]
[59989, 21131]
[60863, 20612]
[60601, 20613]
[60581, 20780]
[60459, 22340]
[57915, 21106]
[61409, 22549]
[61109, 19780]
[59006, 21490]
[60490, 22365]
[60738, 20617]
[60168, 22117]
[55803, 20527]
[57996, 21131]
[62588, 22929]
[57223, 20879]
[59920, 21928]
[62587, 22928]
[51845, 19427]
[61039, 20845]
[57876, 21098]
[60697, 22429]
[59215, 19427]
[62603, 20457]
[60627, 22407]
[55707, 20508]
[61171, 22509]
[61050, 20499]
[61725, 22656]
[60967, 20457]
[62769, 22647]
[61597, 22644]
[62778, 22655]
[60368, 22288]
[62773, 22647]
[62764, 22644]
[59376, 21615]
[61348, 20682]
[56130, 20615]
[61469, 22560]
[60619, 22403]
[60220, 22180]
[62076, 22719]
[62775, 22647]
[61292, 20365]
[62781, 22644]
[59843, 21813]
[62772, 21424]
[60656, 22413]
[62761, 22403]
[60551, 22380]
[61353, 22545]
[51652, 19377]
[61616, 22647]
[61083, 20620]
[55385, 20448]
[62762, 20465]
[61721, 22655]
[60665, 22414]
[62759, 22545]
[62770, 22647]
[57914, 21106]
[62763, 22644]
[62777, 22655]
[60476, 22354]
[62774, 22647]
[62602, 19780]
[61603, 22645]
[62765, 22644]
[60455, 22336]
[56098, 20614]
[58968, 21484]
[62601, 20622]
[60886, 22461]
[61756, 22658]
[60667, 22415]
[55777, 19242]
[56280, 20632]
[55587, 20488]
[61591, 22637]
[54761, 20258]
[61278, 22533]
[60488, 22363]
[60310, 22202]
[61634, 22648]
[59638, 21698]
[61446, 22552]
[55784, 20525]
[61260, 22530]
[60470, 22350]
[60472, 22351]
[62586, 21942]
[60519, 20622]
[60533, 22375]
[60292, 22192]
[62511, 19679]
[59924, 21929]
[60574, 22391]
[61596, 22644]
[57222, 20879]
[57244, 20884]
[57449, 20927]
[62506, 20720]
[60768, 22441]
[57913, 21106]
[60049, 22012]
[61307, 22535]
[62507, 22547]
[57698, 23007]
[61177, 22511]
[55450, 20460]
[56097, 20614]
[60556, 22385]
[56725, 20780]
[57875, 21098]
[60599, 20613]
[55430, 20457]
[61664, 22650]
[61319, 22538]
[61550, 22596]
[56178, 20618]
[60462, 22343]
[60713, 20839]
[62678, 22922]
[62075, 22719]
[55321, 20432]
[55753, 20517]
[60625, 22407]
[60696, 22428]
[59004, 21490]
[60939, 20711]
[60177, 22126]
[61108, 19780]
[55787, 20528]
[61724, 22656]
[62512, 22929]
[61038, 20845]
[60618, 22403]
[60183, 22132]
[61682, 22652]
[61741, 22657]
[61716, 22654]
[55899, 20562]
[56941, 20818]
[61426, 22551]
[62658, 22922]
[61096, 20621]
[60448, 22329]
[58636, 21406]
[55706, 20508]
[60862, 20612]
[61602, 22645]
[59435, 21653]
[55731, 19679]
[61887, 20527]
[58706, 21424]
[56211, 20620]
[60655, 22413]
[60491, 22366]
[61352, 22545]
[51651, 19377]
[61468, 22560]
[57874, 21098]
[61595, 22644]
[62062, 22718]
[56129, 20615]
[61168, 22506]
[57995, 21131]
[56724, 20780]
[57430, 20922]
[61291, 20365]
[55655, 20499]
[59598, 22547]
[60301, 22197]
[57961, 21122]
[60677, 22421]
[56096, 20614]
[61500, 22562]
[56447, 20682]
[61650, 22649]
[62638, 22922]
[61277, 22533]
[61723, 22656]
[60309, 22202]
[60029, 20854]
[61375, 22547]
[61347, 20682]
[60418, 22192]
[60548, 22377]
[60617, 22403]
[59637, 21698]
[55586, 20488]
[60666, 22415]
[57801, 21036]
[59888, 21848]
[61445, 22552]
[57912, 21106]
[52696, 19712]
[61755, 22658]
[60938, 20711]
[61633, 22648]
[58702, 21423]
[60419, 22192]
[60623, 22405]
[60900, 22469]
[56163, 20617]
[61720, 22655]
[60458, 22339]
[60247, 20511]
[62630, 22922]
[60492, 22367]
[55449, 20460]
[57390, 20912]
[57873, 21098]
[55939, 20579]
[62629, 22988]
[57911, 21106]
[59380, 21618]
[61095, 20621]
[57160, 20866]
[59648, 21699]
[61531, 22580]
[59470, 21659]
[60416, 22192]
[62061, 22718]
[61306, 22535]
[56294, 20642]
[61107, 19780]
[62349, 21417]
[56177, 20618]
[60300, 22197]
[57140, 20863]
[61467, 22560]
[58701, 21423]
[47339, 17882]
[60712, 20839]
[61499, 22562]
[52570, 19679]
[60291, 22192]
[57234, 20885]
[62628, 22987]
[55266, 20422]
[57371, 20906]
[57243, 20884]
[58765, 21436]
[59235, 20866]
[55775, 19242]
[55978, 20594]
[55801, 20527]
[55383, 20448]
[59777, 21748]
[61549, 22596]
[62612, 22922]
[55320, 20432]
[51841, 19427]
[59541, 21686]
[61037, 20845]
[59531, 21683]
[61698, 22653]
[56570, 20711]
[59213, 19427]
[57063, 20847]
[55752, 20517]
[59968, 21942]
[59003, 21490]
[55677, 20507]
[56797, 20791]
[58861, 21456]
[55691, 20505]
[55429, 20457]
[55665, 20502]
[61290, 20365]
[56474, 20691]
[57221, 20879]
[62610, 22922]
[55463, 20466]
[59225, 20818]
[56723, 20780]
[58635, 21405]
[55947, 20586]
[55654, 20499]
[55805, 20530]
[57960, 21122]
[56940, 20818]
[57374, 20909]
[57910, 21106]
[56210, 20620]
[61094, 20621]
[62428, 9673]
[56162, 20617]
[62043, 22709]
[55904, 20566]
[61601, 22645]
[61276, 22533]
[56995, 20826]
[56245, 20622]
[59987, 21131]
[55704, 20508]
[56095, 20614]
[61351, 22545]
[51650, 19377]
[57343, 20902]
[62580, 22922]
[59784, 21750]
[61374, 22547]
[61632, 22648]
[61859, 22552]
[56901, 20810]
[59797, 21759]
[58937, 21475]
[61719, 22655]
[58860, 21455]
[61715, 22654]
[56446, 20682]
[57865, 21099]
[60246, 20511]
[61860, 22552]
[61346, 20682]
[55258, 20414]
[62073, 22719]
[60308, 22202]
[60028, 20854]
[52675, 19702]
[55585, 20488]
[62426, 22922]
[57242, 20884]
[57157, 20866]
[57983, 21130]
[58044, 21146]
[56300, 20646]
[61772, 22660]
[56094, 20614]
[61993, 20884]
[55382, 20448]
[57013, 20838]
[55576, 20489]
[61957, 21489]
[61593, 22644]
[61036, 20841]
[55809, 19780]
[57310, 20899]
[61498, 22562]
[56161, 20617]
[61328, 22539]
[55477, 20465]
[62353, 22901]
[59836, 21808]
[55448, 20460]
[58993, 21489]
[56128, 20615]
[58842, 21450]
[62409, 22922]
[60992, 19711]
[57933, 21117]
[59847, 21417]
[60037, 22001]
[55690, 20505]
[58700, 21423]
[59530, 21683]
[60711, 20839]
[55255, 20412]
[55985, 20598]
[61739, 22657]
[58862, 21457]
[52700, 19711]
[59647, 21699]
[55820, 20537]
[59977, 19711]
[60033, 21943]
[57370, 20906]
[60432, 22313]
[56866, 20803]
[60004, 19711]
[60414, 22192]
[59999, 21943]
[56593, 20718]
[59601, 21690]
[60353, 21607]
[60993, 19711]
[55774, 19242]
[57267, 22929]
[61466, 22560]
[61304, 22535]
[57608, 20996]
[56600, 20719]
[55781, 20524]
[55800, 20527]
[55808, 19780]
[61969, 22313]
[59877, 21843]
[61317, 22538]
[59701, 21731]
[60089, 19242]
[55265, 20421]
[55653, 20499]
[56569, 20711]
[61345, 20682]
[60051, 22014]
[57389, 20912]
[61365, 20720]
[57073, 20845]
[61844, 22653]
[55920, 20573]
[60299, 22197]
[56445, 20682]
[61600, 22645]
[56160, 20617]
[56521, 20699]
[61970, 22313]
[61548, 22596]
[61697, 22653]
[55740, 20519]
[55536, 22928]
[62003, 21493]
[59832, 21805]
[61406, 22549]
[59596, 22547]
[56228, 20621]
[57717, 21012]
[58992, 21489]
[62002, 21493]
[59986, 21131]
[61170, 22508]
[61714, 22654]
[56063, 20612]
[56722, 20780]
[58934, 21473]
[59441, 20912]
[57993, 21131]
[56908, 20814]
[59698, 21728]
[59224, 20818]
[56244, 20622]
[52569, 19679]
[57959, 21122]
[59021, 21493]
[62565, 21490]
[55107, 20368]
[61827, 22549]
[61350, 22545]
[55600, 20495]
[51649, 19377]
[56938, 20818]
[61443, 22552]
[58441, 21334]
[56176, 20618]
[59845, 21815]
[62350, 22898]
[61956, 21489]
[61648, 22649]
[57908, 21106]
[61858, 22552]
[62107, 22547]
[53198, 19924]
[61373, 22547]
[60245, 20511]
[59967, 21942]
[61968, 22313]
[62109, 22547]
[57108, 20854]
[55584, 20488]
[59635, 21698]
[59326, 21600]
[57771, 21029]
[60653, 22413]
[61857, 22552]
[62106, 22547]
[59697, 21727]
[61949, 21942]
[57152, 20861]
[61718, 22655]
[60431, 22313]
[61967, 22313]
[61950, 21942]
[62542, 22963]
[52568, 19679]
[61875, 22560]
[31745, 10090]
[61893, 22535]
[57302, 20896]
[61793, 19242]
[57711, 21009]
[61972, 22560]
[57871, 21098]
[59355, 20839]
[55664, 20502]
[62057, 20615]
[59795, 21757]
[57932, 21116]
[61145, 20613]
[56127, 20615]
[60846, 22459]
[59646, 21699]
[55368, 20443]
[55374, 20449]
[61870, 20613]
[57992, 21131]
[61988, 22535]
[59629, 21697]
[62481, 22944]
[57835, 21066]
[61035, 20841]
[60243, 21943]
[55773, 19242]
[61778, 20613]
[61894, 22535]
[61209, 21098]
[62032, 22703]
[56038, 20607]
[56282, 20634]
[60595, 20613]
[58683, 21417]
[61891, 20615]
[55476, 20465]
[61874, 22560]
[61842, 22535]
[58837, 21445]
[61965, 22313]
[61867, 20711]
[57369, 20906]
[61911, 20620]
[62028, 20448]
[59853, 21417]
[61978, 22596]
[57964, 21126]
[61364, 20720]
[57072, 20845]
[61795, 20437]
[55807, 19780]
[59915, 21417]
[58348, 21273]
[61987, 20845]
[61547, 22596]
[56021, 20606]
[55799, 20527]
[59462, 21657]
[61980, 22596]
[61940, 20432]
[60430, 22313]
[61892, 20845]
[61883, 22596]
[58290, 21254]
[61215, 21245]
[61866, 20711]
[61966, 22313]
[62027, 20448]
[59854, 21417]
[59742, 21695]
[61979, 22596]
[55983, 20596]
[61868, 20711]
[62029, 20448]
[56243, 20622]
[56568, 20711]
[55427, 20457]
[60302, 19243]
[56175, 20618]
[61316, 22538]
[61942, 21417]
[61836, 22596]
[61959, 21423]
[56208, 20620]
[55345, 20437]
[61955, 21489]
[55381, 20448]
[61831, 22670]
[61216, 20845]
[58991, 21489]
[57388, 20912]
[56276, 20628]
[58226, 21245]
[57906, 21104]
[59624, 21695]
[61203, 20606]
[58139, 21236]
[61206, 20912]
[61976, 21490]
[62038, 22560]
[56227, 20621]
[61497, 22562]
[61990, 22441]
[59593, 21493]
[61994, 20621]
[51647, 19377]
[61975, 22562]
[60990, 19711]
[61941, 20912]
[61881, 21490]
[56721, 20780]
[61989, 22441]
[56935, 20818]
[55954, 20590]
[62089, 20621]
[56844, 20613]
[61780, 22664]
[59020, 21493]
[61977, 21490]
[62066, 22441]
[55508, 20471]
[55583, 20488]
[57958, 21122]
[59154, 21533]
[61973, 22562]
[61897, 22441]
[59975, 19711]
[61288, 20365]
[61864, 20912]
[61187, 20471]
[60765, 22441]
[60024, 21413]
[59876, 21842]
[61834, 22562]
[52699, 19711]
[60003, 19711]
[61865, 20912]
[61232, 20471]
[56159, 20617]
[61898, 22441]
[57241, 20884]
[60252, 22187]
[60093, 21493]
[62088, 20621]
[61713, 22654]
[60991, 19711]
[61878, 22562]
[55431, 20458]
[61854, 22552]
[61599, 22645]
[61960, 22313]
[59634, 21698]
[61779, 21489]
[59966, 21942]
[59842, 21812]
[57905, 21104]
[61855, 22552]
[58990, 21489]
[61342, 20682]
[60413, 22192]
[61885, 22645]
[61963, 22313]
[61947, 21942]
[59752, 21745]
[60012, 20432]
[61849, 22552]
[55535, 20476]
[61999, 21683]
[56062, 20612]
[61856, 22552]
[61861, 20682]
[61154, 22192]
[61983, 22645]
[61964, 22313]
[57151, 20861]
[61851, 22552]
[59835, 21807]
[61953, 21489]
[60412, 22192]
[61961, 22313]
[55317, 20432]
[59925, 21930]
[59529, 21683]
[61852, 22552]
[55750, 20517]
[61946, 21942]
[56860, 20799]
[61869, 22552]
[61343, 20682]
[60978, 22192]
[61826, 22645]
[61962, 22313]
[58857, 21453]
[61998, 21683]
[61850, 22552]
[60429, 22313]
[61948, 21942]
[58673, 21414]
[61997, 21683]
[61838, 22645]
[60342, 21607]
[57946, 21121]
[61829, 22552]
[61185, 20457]
[55728, 20511]
[61954, 21489]
[61984, 22645]
[55426, 20457]
[61873, 20457]
[60270, 22189]
[56207, 20620]
[59354, 20839]
[61235, 20900]
[59976, 19711]
[57870, 21098]
[56174, 20618]
[60391, 22299]
[56592, 20718]
[57883, 21101]
[57706, 22923]
[60203, 21098]
[59776, 21747]
[56126, 20615]
[57051, 20844]
[61182, 20718]
[60348, 20711]
[55688, 20505]
[55657, 20503]
[60087, 19242]
[61198, 20614]
[59709, 21736]
[60615, 22401]
[55446, 20460]
[59133, 21523]
[57336, 20900]
[60137, 20841]
[56842, 20613]
[61210, 20718]
[57265, 20890]
[61236, 20900]
[61081, 19679]
[61218, 20620]
[52567, 19679]
[61139, 20890]
[60269, 22189]
[56443, 20682]
[55344, 20437]
[55546, 20477]
[59645, 21699]
[59874, 21840]
[57957, 21122]
[58989, 21488]
[59434, 21652]
[59825, 21788]
[57301, 20896]
[57904, 21104]
[59343, 21607]
[60202, 22178]
[61189, 20527]
[55316, 20432]
[55332, 20439]
[58879, 21417]
[55475, 20465]
[61192, 20845]
[59747, 21696]
[58406, 21286]
[60575, 21696]
[61229, 22520]
[61193, 21122]
[59454, 21417]
[60036, 21840]
[55798, 20527]
[56061, 20612]
[58682, 21417]
[58003, 21134]
[59728, 21692]
[61228, 22519]
[61233, 20527]
[59180, 21417]
[61212, 20465]
[59761, 21488]
[61179, 20432]
[56548, 20710]
[60287, 21607]
[54760, 20258]
[59785, 21751]
[60268, 22189]
[59605, 21691]
[61944, 20613]
[61180, 20912]
